transcription	normalisation
ལྷོཾ	ལྷ་མོ
ལྷཾཨོ	ལྷ་མོ
ལྷགོས	ལྷ་ཚོགས
ལྷོ༹གས	ལྷ་ཚོགས
ལྷོགས	ལྷ་ཚོགས
ལྷོ༹ཊ	ལྷ་ཚོགས
ལྷྲེའི	ལྷ་འདྲེའི
ལྷྲེ	ལྷ་འདྲེ
ལྷ༹ས	ལྷ་རྫས
ལྷནྡ	ལྷ་ལྡན
ལྷས	ལྷ་སྲས
ལྷིེནད	ལྷ་སྲིན་སྡེ་བརྒྱད
ལྷྲིནེད	ལྷ་སྲིན་སྡེ་བརྒྱད
ལྷྲིན	ལྷ་སྲིན
ལྷྲུང༌	ལྷ་སྲུང༌
ལྷགནས	ལྷག་གནས
ལྷགི	ལྷག་གི
ལྷགེ་བ	ལྷག་གེ་བ
ལྷགཾ	ལྷག་མ
ལྷགོ	ལྷག་ལྷོག
ལྷགྶོང	ལྷག་སོང
ལྷངེ	ལྷང་ངེ
ལྷེཾད	ལྷད་མེད
ལྷ༡	ལྷན་ཅིག
ལྷངེ༌	ལྷང་ངེ༌
ལྷངང༌	ལྷང་ལྷང༌
ལྷཱང	ལྷང་ལྷང
ལྷིག	ལྷན་གཅིག
ལྷནིག	ལྷན་ཅིག
ལྷིག	ལྷན་ཅིག
ལྷིནག	ལྷན་ཅིག
ལྷནེ	ལྷན་ནེ
ལྷནོ༹ཊ	ལྷན་ཚོགས
ལྷྱས	ལྷན་རྒྱས
ལྷྱེས	ལྷན་སྐྱེས
ལྷབུ	ལྷབ་ལྷུབ
ལྷམེ	ལྷམ་མེ
ལྷྃ	ལྷམ
ལྷསྐོས	ལྷས་བསྐོས
ལྷུགེར	ལྷུག་གེར
ལྷཱུག	ལྷུག་ལྷུག
ལྷུགལྃའི	ལྷུག་སྤེལ་མའི
ལྗེུངད	ལྷུང་བཐེད
ལྷུངེ༹ད	ལྷུང་བཟེད
ལྷྲིུབ	ལྷུན་གྱིས་གྲུབ
ལྷུནྲུབ	ལྷུན་གྲུབ
ལྷུབ	ལྷུན་གྲུབ
ལྷྲུབ	ལྷུན་གྲུབ
ལྷྲུནབ	ལྷུན་གྲུབ
ལྷུནོ	ལྷུན་པོ
ལྷུནོའིཛེྃ	ལྷུན་པོའི་མཛེས
ལྷུརླེན	ལྷུར་ལེན
ལྷཻབས	ལྷེབས་ལྷེབས
ལྷྱོིང	ལྷོ་གླིང
ལྷོུབདགོ	ལྷོ་ནུབ་བདག་པོ
ལྷོུབ	ལྷོ་ནུབ
ལྷཽཊོ	ལྷོ་ཕྱོགས་སོ
ལྷཽཊ	ལྷོ་ཕྱོགས
ལྷྱཽགས	ལྷོ་ཕྱོགས
ལྷྱོགས	ལྷོ་ཕྱོགས
ལྷྲཽད	ལྷོ་བགྲོད
ལྷྲོགརྫོང་	ལྷོ་བྲག་རྫོང་
ལྷོནོཾཌ	ལྷོ་མོན་ནགས
ལྷཽག	ལྷོག་ལྷོག
ཤྲགི༹ན	ཤ་ཁྲག་འཛིན
ཤྲག	ཤ་ཁྲག
ཤོྃ	ཤ་མོ
ཤཚིལ	ཤ་ཚིལ
ཤཁོན	ཤ་འཁོན
ཤྑོན	ཤ་འཁོན
ཤཱཀྱཐུབྶ	ཤཱཀྱ་ཐུབ་པ
ཤངོ	ཤང་ཤོང
ཤོད་	ཤད་དོ་
ཤནྱརཾ	ཤན་སྦྱར་མ
ཤབུ	ཤབ་ཤུབ
ཤཾབས	ཤམ་ཐབས
ཤམྦྷལང	ཤམྦྷ་ལ་དང
ཤཾ་བྷ་ལ	ཤམ་བྷ་ལ
ཤམྦྷ་ལ	ཤམ་བྷ་ལ
ཤཾ	ཤམ
ཤརྱི	ཤར་གྱི
ཤརགླིཾ	ཤར་གླིང
ཤིརྱང	ཤར་གླིང
ཤརོགས	ཤར་ཕྱོགས
ཤརོཊ	ཤར་ཕྱོགས
ཤརྒོས	ཤར་ཕྱོགས
ཤྱགོས	ཤར་ཕྱོགས
ཤྱོཊ	ཤར་ཕྱོགས
ཤརྃང	ཤར་མ་དང
ཤརི	ཤར་རི
ཤརྷོ	ཤར་ལྷོ
ཤྷོར	ཤར་ལྷོ
ཤརར	ཤར་ཤར
ཤརུ	ཤར་ཤུར
ཤརོ	ཤར་ཤོར
ཤིངྃ	ཤིང་ངམ
ཤིངེན	ཤིང་ཆེན
ཤིངྟོག	ཤིང་ཏོག
ཤིངྲནཚེརན	ཤིང་ཕྲན་ཚེར་ཅན
ཤིངཕྲནསྨན	ཤིང་ཕྲན་སྨན
ཤིངཁརསྱིལ	ཤིང་འཁར་གསིལ
ཤིངབྲསིལྙན	ཤིང་འབྲས་སིལ་སྙན
ཤིངབྱུག	ཤིང་འབྲུག
ཤིངཛིན	ཤིང་འཛིན
ཤིངརྟ	ཤིང་རྟ
ཤིངརྟའི	ཤིང་རྟའི
ཤིྃསོག	ཤིང་སོག
ཤིངནོ	ཤིང་སྔོན
ཤིངྶྟེ་	ཤིང་སྟེ་
ཤིནུ	ཤིན་ཏུ
ཤིནྟུ	ཤིན་ཏུ
ཤྟིུན	ཤིན་ཏུ
ཤི༹ས	ཤིས་མཛད
ཤུགསོཾ	ཤུག་གསོམ
ཤུཌ	ཤུགས
ཤུབུར་སྨྲ་བ	ཤུབ་བུར་སྨྲ་བ
ཤཱུམ་པ	ཤུམ་ཤུམ་པ
ཤུལྖེནང	ཤུལ་ཆེན་དང
ཤུལཾ	ཤུལ་ལམ
ཤེདག	ཤེད་བདག
ཤེདུ	ཤེད་བུ
ཤེརིནཾ	ཤེར་ཕྱིན་མ
ཤེརིན་མཆོདེན	ཤེར་ཕྱིན་མཆོད་རྟེན
ཤེརིན	ཤེར་ཕྱིན
ཤེརྱིན	ཤེར་ཕྱིན
ཤེལན	ཤེལ་ཅན
ཤེསྱ	ཤེས་བྱ
ཤྱེ	ཤེས་བྱ
ཤྱེས	ཤེས་བྱ
ཤེསྱེད	ཤེས་བྱེད
ཤེསའི	ཤེས་པའི
ཤེསཚོར	ཤེས་ཚོར
ཤེརྱིན་པ	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ
ཤྲེབྱིས	ཤེས་རབ་ཀྱིས
ཤྲེབངྶྐུར	ཤེས་རབ་དབང་བསྐུར
ཤྲེབསྣཾསངེསརྙེད	ཤེས་རབ་བསམས་ནས་ངེས་རྙེད
ཤེརྲི	ཤེས་རབ་རལ་གྲི
ཤེབ	ཤེས་རབ
ཤེསབ	ཤེས་རབ
ཤྲེབ	ཤེས་རབ
ཤྲེབ	ཤེས་རབ
ཤེསྲིག	ཤེས་རིག
ཤེསྡན	ཤེས་ལྡན
ཤེསོ	ཤེས་སོ
ཤེསོང	ཤེས་སོང
ཤེསླ	ཤེས་སླ
ཤོགུ	ཤོག་གུ
ཤོགྦུ	ཤོག་བུ
ཤོདུ	ཤོད་དུ
ཤཽར	ཤོར་རོ
ས་པཎ	ས་ཀྱ་པཎྜིཏ
སྑུལ	ས་ཁུལ
སཁོངསུ	ས་ཁོངས་སུ
སཁྲའདྲའོ་	ས་ཁྲ་འདྲའོ་
སདན	ས་གདན
སནྱྃ་	ས་གནམ་
སཞྱིའིངཾ	ས་གཞིའི་མིང
ས་གནམ	ས་གཞི་དང་གནམ་ག
སྒེ་སོགེ	ས་གེ་སོག་གེ
སངོས	ས་ངོས
སཔགཚད་	ས་དཔག་ཚད་
སཔྱདཁཾ	ས་དཔྱད་ཁང
སབྱིབས	ས་དབྱིབས
སཀྲ	ས་བཀྲ
སཅད	ས་བཅད
སཅུའོ་	ས་བཅུའོ་
སཌ	ས་བདག
སབབ	ས་བབ
སྦེ་སིབེ་	ས་བེ་སིབ་བེ་
སྦེ་སོབེ་	ས་བེ་སོབ་བེ་
སོན	ས་བོན
སྦོན	ས་བོན
སབླ་	ས་བླ་
སྃཐའྃཐའ	ས་མཐའ་མཐའ
སདྃའ	ས་མདའ
སི༹ཊ	ས་ཚིགས
སྃཚམས	ས་མཚམས
སཚིཌ	ས་ཚིགས
སྮིངཟོས	ས་ཞིང་བཟོས
སྮེས	ས་ཞེས
སགུལསཆ	ས་འགུལ་ས་ཆ
སདྃམོ	ས་འདམ་མོ
སི༹ན	ས་འཛིན
སའོག	ས་འོག
ས་ཡའབྃ	ས་ཡ་འབུམ
ས་རེསོརེ	ས་རེ་སོར་རེ
སྱུས	ས་རྒྱུས
སླཱ	སཱ་ལ
ས་ལུ	ས་ལུ་
སསྐྱ་	ས་སྐྱ་
སྐྱ	ས་སྐྱ
སསྟེང	ས་སྟེང
སྟེང	ས་སྟེང
སསྲིན	ས་སྲིན
སསློགྲྡོ་	ས་སློག་རྡོ་
སགྙ	སག་ཉ
སགྮྭ	སག་ཞྭ
སགྲི་	སག་རི་
སགྲིསན	སག་རིས་ཅན
སགྡར	སག་རྡར
སགྷྃ	སག་ལྷམ
སཱང་པོ	སང་སང་པོ
སཾསང	སངས་དང
སངྱསྱི	སངས་རྒྱས་ཀྱི
སངྱསྱིས	སངས་རྒྱས་ཀྱིས
སདྱསྃད	སངས་རྒྱས་ཐམས་ཅད
སངྱས་འབྲསུ	སངས་རྒྱས་འབྲས་བུ
སདྱསྃ	སངས་རྒྱས་སམ
སདྱསོ	སངས་རྒྱས་སོ
སངྱསྐྱོངཀྱིསཛ༹དའི	སངས་རྒྱས་སྐྱོངས་ཀྱིས་མཛད་པའི
སདྱསྲསྱིསྐོར	སངས་རྒྱས་སྲས་ཀྱིས་བསྐོར
སངྱས	སངས་རྒྱས
སརྒྱས	སངས་རྒྱས
སྔྱས	སངས་རྒྱས
སདྱཾས	སངས་རྒྱས
སདྱས	སངས་རྒྱས
སདྱས	སངས་རྒྱས
སཾས	སངས
སདང	སད་དང
སདརྃདོ	སད་པར་མེད
སདར	སད་པར
སདདྱབ	སད་བརྒྱབ
སདཚེ་	སད་ཚེ་
སདལྷུཾ	སད་ལྷུང
སདྶུདཙྃ་	སད་སུད་ཙམ་
སདྶུད	སད་སུད
སདྶེར	སད་སེར
སབྣི་	སབ་ནི་
སབེ་	སབ་བེ་
སབྶོབྃ	སབ་སོབ་བམ
གླིཾཅུསིེ་	སམ་གླིང་བཅུ་གཉིས་ཏེ་
སྃདྕིལཌ་	སམ་ཅི་ལགས་
སྃ	སམ
སའིཁྃསྃབྱུང	སའི་ཁམས་སམ་འབྱུང
སའིགོ	སའི་གོ
སའིདགོ་	སའི་བདག་པོ་
སརོརང	སར་སོར་དང
སལྶིལེར	སལ་སིལ་རེ
སྶུལ	སལ་སུལ
སལྶིལ	སལྶིལ
སི་ཏཆོུ་	སི་ཏ་ཆུ་བོ་
སྲིིལ	སི་རིལ
སྒྲི་	སི་སྒྲ་
སིགི	སིག་སིག
སིཌྃ་	སིགས་མ་
སིཌིག	སིགས་ཤིག
སོངྒ	སིང་ག
སིངེ་	སིང་ངེ་
སིངིང	སིང་སིང
སིཾསོ་	སིངས་པོ་
སིངསླགིྃརྩྱང	སིངས་རླག་མི་གཅང
སྶྒྲི	སིད་སྒྲ
སིནྡྷུ	སིནྡྷུ
སིབྣད	སིབ་ནད
སིབུ	སིབ་བུ
སིབིབ	སིབ་སིབ
སིྃ	སིམ
སིལྑྲོལ	སིལ་ཁྲོལ
སིལྟོགྃ	སིལ་ཏོག་གམ
སིལྟོག	སིལ་ཏོག
སིལོཚཌ	སིལ་ཚོང
སིལིལཀྲོལའིསྒྲ	སིལ་སིལ་དཀྲོལ་བའི་སྒྲ
སཱིལ	སིལ་སིལ
སིལྒྲ	སིལ་སྒྲ
སུཅདའྡིེ	སུ་བཅད་པའི་སྡེ
སུམུ	སུ་མུ
སུའོངསུསཤད	སུ་འོངས་སུས་བཤད
སུརེད	སུ་རེད
སུགྠིང	སུག་ཏིའང
སུགྲིས	སུག་བྲིས
སུགྨེལ	སུག་མེལ
སུགླས	སུག་ལས
སུགྶྨེལདྲ	སུག་སྨེལ་འདྲ
སུགྨེལ	སུག་སྨེལ
སུཾསུཾས	སུང་སུངས
སུནབྱུང	སུན་དབྱུང
སུནོ་	སུན་པོ་
སུནཕྱིུང	སུན་ཕྱུང་ཞིང
སུནཕྱུངསིག	སུན་ཕྱུངས་ཤིག
སིུན	སུན་འབྱིན
སུནབྱིན	སུན་འབྱིན
སུནྣང	སུན་སྣང
སུབྼི	སུབ་བྲི
སུབསིགྥྲིས	སུབས་ཤིག་ཕྲིས
སུྃཁྲི	སུམ་ཁྲི
སུམྱོན	སུམ་གྱིན
སུྃཅུ	སུམ་ཅུ
སིུཆའོ་	སུམ་ཆའོ་
སུྃདདསུྃསྟོང	སུམ་བརྒྱ་སུམ་སྟོང
སུཾ་བངྱ	སུམ་བརྒྱ
སུཾ་བརྒྱ	སུམ་བརྒྱ
སེུ༹ཊ	སུམ་བརྩེགས
སུམྕོུང	སུམ་མེ་ཅུང
སུམདོ	སུམ་མདོ
སུཾདོ	སུམ་མདོ
སུྃབུྃ	སུམ་འབུམ
སུྃརྐྱ་	སུམ་རྐྱ་
སུྃརྟཌ	སུམ་རྟགས
སུམེ༹ན	སུམ་རྩེན
སྱྃསྒྲིལ	སུམ་སྒྲིལ
སུྃ	སུམ
སུྃསིག	སུམས་ཤིག
སུའིཟེར	སུའི་ཟེར
སུལང	སུལ་དང
སུལྱུག	སུལ་དྲུག
སུལྃང	སུལ་མང
སུལོྃ་	སུལ་མོ་
སུལཾ	སུལ་ལམ
སུསཤད	སུས་བཤད་
སུསིགལྲོནང	སུས་ཤིག་མགྲོན་དང
སེོ	སེ་བོ་
སྦེོ	སེ་བོ་
སེོྃ	སེ་མོ་
སླེ	སེ་འབྲུ
སྱོབ	སེ་ཡབ
སྱེོ	སེ་ཡོ
སྲེལྱས	སེ་རལ་བྱས
སྲེལ	སེ་རལ
སྲེུལ	སེ་རུལ
སཻགརྡར	སེག་སེག་རྡར
སེངེན	སེང་གེ་ཅན
སེངེ་བཟངོས་མ༹དའི	སེང་གེ་བཟང་པོས་མཛད་པའི
སེངེ༌	སེང་གེ
སེངྒེ	སེང་གེ
སཻང	སེང་གེ
སཻངྒའྃཡུ	སེང་གེའི་གཡུ
སཻངའིངར	སེང་གེའི་ངར
སེངནེ	སེང་ཆེན
སེངཕྲོྃ	སེང་ཕྲོམ་
སེངྃ	སེང་མ
སེངྡེང	སེང་ལྡེང
སྷཻང	སེང་ལྡེང
སེནོྃ	སེན་མོ
སེནོྃ	སེན་མོ
སེྃནྃད	སེམས་ཅན་ཐམས་ཅད
སེནཾད	སེམས་ཅན་ཐམས་ཅད
སེནཾདཾ	སེམས་ཅན་ཐམས་ཅད
སེཾནཐཾད	སེམས་ཅན་ཐམས་ཅད
སེཾན་བླུནོ	སེམས་ཅན་བླུན་པོ
སེན	སེམས་ཅན
སེནཾ	སེམས་ཅན
སེཾན	སེམས་ཅན
སེཾཨན	སེམས་ཅན
སེཾསེན	སེམས་ཆེན
སེསྖུྃང	སེམས་ཆུང
སེཾསིད	སེམས་ཉིད
སེདྃའོ་	སེམས་དཔའ་འོ་
སྃདེའ	སེམས་དཔའ
སེདྃའ	སེམས་དཔའ
སེདའཾ	སེམས་དཔའ
སེཾདའ	སེམས་དཔའ
སེཾའ	སེམས་དཔའ
སེཾསའི	སེམས་པའི
སེྃདའི	སེམས་དཔའི
སྐྱཻྃདངོ་	སེམས་བསྐྱེད་དང་པོ་
སེསྐྱཻད	སེམས་བསྐྱེད་དེ
སེཾསྐྱེད	སེམས་བསྐྱེད
སེསྐྱཾདེ	སེམས་བསྐྱེད
སེསྐྱེྃད	སེམས་བསྐྱེད
སེསྱུྃང	སེམས་བྱུང
སེྃསྑྲལིྃ་	སེམས་འཁྲལ་མི་
སཻཾ༹ར	སེམས་འཚེར
སེྃསཛིན	སེམས་འཛིན
སེྃསླས	སེམས་ལས
སེཾསུ	སེམས་སུ
སེསུྃ	སེམས་སུ
སེསྐྱིྃད	སེམས་སྐྱིད
སེྃསྐྱེད	སེམས་སྐྱེད་དེ
སེཾསྐྱེས	སེམས་སྐྱེས
སེྃསྙིངེ་	སེམས་སྙིང་རྗེ་
སེཾསྡུག	སེམས་སྡུག
སེཾསྲོངོ	སེམས་སྲོང་བོ
སྃསེ	སེམས
སེྃས	སེམས
སེསཾ	སེམས
སྶེ	སེམས
སེཾས	སེམས
སེརྒ	སེར་ག
སེརེན	སེར་ཆེན
སེརྃར	སེར་དམར
སེརགཾ	སེར་ནག་མ
སེརག	སེར་ནག
སེརོ	སེར་པོ
སོེར	སེར་པོ
སེརྦ	སེར་བ
སེརཽཁ	སེར་བོ་རོ་ཁ
སེརོ་	སེར་བོ
སེརའོི་	སེར་བོའི་
སེརོྃ་	སེར་མོ
སེརྴ	སེར་ཤ
སཻར	སེར་སེར
སེརྐྱ	སེར་སྐྱ
སྣེརན	སེར་སྣ་ཅན
སེརྣེ་	སེར་སྣ་ཆེ་
སེརྣྃདེ་	སེར་སྣ་མེད
སྣེར	སེར་སྣ
སེལརྱེད	སེལ་བར་བྱེད
སེལྱོང	སེལ་བོ་ཡང
སེལོ	སེལ་བོ
སྐོ་	སོ་ཀ་
སྕོན	སོ་ཅན
སྠོར	སོ་ཐར
སོང	སོ་དང
སྲོུག	སོ་དྲུག
སྥོགསྲོཌྯིན	སོ་ཕག་བསྲེགས་ཟིན
སྦོ་	སོ་བ་
སོཏངསྲོཌ	སོ་བཏང་བསྲེགས
སོཞི	སོ་བཞི
སྱོ་	སོ་བྱ་
སོའརོ་	སོ་འཁོར་
སྙོལྣི	སོ་རྙིལ་ན
སཽབ	སོ་སོ་བ
སོོབ	སོ་སོ་བ
སཽ	སོ་སོ
སཽའི	སོ་སོའི
སཽར	སོ་སོར
སྲོུང	སོ་སྲུང
སྲོུབྣས	སོ་སྲུབས་ནས
སོགྕིག	སོག་ཅིག
སོགྣང	སོག་ནང
སོགྶ	སོག་པ
སོགྶོ་	སོག་པོ་
སོགྱིལྶྣདྱན	སོག་བྱིལ་རྣ་རྒྱན
སོགྲོྃ་	སོག་མ་གྲོ་
སོགྲུསོགྶྐ་	སོག་རུས་སོག་སྐད
སོགླེང	སོག་ལེ་དང
སོགེ	སོག་ལེ
སོགྱོིག	སོག་སོག་ཡིག
སཽག	སོག་སོག
སོཌཀྱིསླསའི་	སོགས་ཀྱིས་སླས་པའི་
སོགསུངས	སོགས་སུ་གསུངས་པ
སོཌ	སོགས
སོཊ	སོགས
སོཌ	སོགས
སྦོང	སོང་བ
སོངྃག	སོང་ཞིག
སཽངང	སོང་སོང
སོངསིག	སོངས་ཤིག
སོན་འདེས	སོན་འདེབས
སོནྲུ	སོན་འབྲུ
སོབྣ་	སོབ་ན
སོབྦེས	སོབ་བེས
སོབོ	སོབ་སོབ
སོབསསིག	སོབས་ཤིག
སོཾ	སོམ་
སོཾསིགུ	སོམས་ཤི་གུ
སོཾས་ཤིག	སོམས་ཤིག
སོསཾ་ཤིག	སོམས་ཤིག
སོཾས	སོམས
སོརཟགྶོར	སོར་བཞག་སོར
སོརོཾ་	སོར་མོ་
སཽྃ	སོར་མོ
སོརྒང	སོར་སོར་གང
སོལྦྱས	སོལ་བྱས
སསྐོའོ་	སོས་ཀའོ་
སོསྐར	སོས་ཀར
སོསྡལྡད	སོས་དལ་བསྡད
སོསྡདྯིན	སོས་བལྡད་ཟིན
སོསྡོད	སོས་བལྡད
སོསོ	སོས་སོ
སྐདྕིགྃའི	སྐད་ཅིག་མའི
སྐདིག	སྐད་ཅིག
སྐིག	སྐད་ཅིག
སྐིདག	སྐད་ཅིག
སྐདོ	སྐད་དོད
སྐབསུཾ	སྐབས་གསུམ
སྱྐྲོེེདམ	སྐབས་འགྲོ་སེམས་བསྐྱེད
སྐབོ༹ལ	སྐབས་འཚོལ
སྐབསུ	སྐབས་སུ
སྐབསུ	སྐབས་སུ
སྐམིན	སྐམ་མིན
སྐྃ	སྐམ
སྐཾར	སྐར་མ
སྐརྨ	སྐར་མ
སྐཾའ	སྐར་མདའ
སྐལད	སྐལ་ཆད
བསྐང༌	སྐལ་བཟང༌
སྐལྯང	སྐལ་བཟང
སྐ༹ང༌	སྐལ་བཟང༌
སྐང༌	སྐལ་བཟང༌
སྐལང༌	སྐལ་བཟང༌
སྐལ༹ང	སྐལ་བཟང
སྐལྡན	སྐལ་ལྡན
སྐུགས	སྐུ་གསུང་ཐུགས
སྐུངགས	སྐུ་གསུང་ཐུགས
སྐུངཊ	སྐུ་གསུང་ཐུགས
སྐུྃཉེལ	སྐུ་མཉེལ
སྐུཾན	སྐུ་མདུན
སྐུདོག	སྐུ་མདོག
སྐོུག	སྐུ་མདོག
སྐེུ༹	སྐུ་ཚེ
སྐུར	སྐུ་འདྲ
སྐོུད	སྐུ་སྟོད
སྐུད	སྐུ་སྨད
སྐུདཕངསྱིར	སྐུད་འཕང་གསིར་
སྐུལྱེད་མ	སྐུལ་བྱེད་མ
སྐུལྱེད	སྐུལ་བྱེད
སྐོརཉྱེནའོར	སྐོར་གཉེན་འཁོར
སྐྱཾའ	སྐྱ་མདའ
སྐྱྱ	སྐྱ་སྐྱ
སྐྱོཾན	སྐྱབས་མགོན
སྐྱགྲོམེདེ	སྐྱབས་འགྲོ་སེམས་བསྐྱེད
སྐྱབསུ་མཆི	སྐྱབས་སུ་མཆི
སྐྱབསོ	སྐྱབས་སོ
སྐྱི་ོཾ	སྐྱི་མོ་
སྐྱིདོ	སྐྱིད་དོ
སྐྱིདོ	སྐྱིད་པོ
སྐྱིུང༌	སྐྱིལ་དཀྲུང༌
སྐྱུཾས	སྐྱུངས
སྐྱུརོ	སྐྱུར་རོ
སྐྱེུ	སྐྱེ་དགུ
སྐྱེའི་	སྐྱེ་བའི་
སྐྱཻ	སྐྱེ་བོ
སྐྱེོ་	སྐྱེ་བོ་
སྐྱཻད	སྐྱེ་མཆེད
སྐྱེདེ	སྐྱེ་མཆེད
སྐྱཻད	སྐྱེ་མེད
སྐྱེེད	སྐྱེ་མེད
སྐྱེརོ	སྐྱེ་འགྲོ
སྐྱོེ	སྐྱེ་འགྲོ
སྐྱྲོེ	སྐྱེ་འགྲོ
སྐྱེུ	སྐྱེ་རྒུ
སྐྱེདེ	སྐྱེ་སྲེད
སྐྱེདཾ	སྐྱེད་མ
སྐྱེདོ༹ལ	སྐྱེད་མོས་ཚལ
སྐྱེད༹ལ	སྐྱེད་ཚལ
ལྐྱེལྱི	སྐྱེལ་གྱི
སྐྱིུང	སྐྱེལ་དཀྲུང
སྐྱེནཾ	སྐྱེལ་མཁན
སྐྱེསྱིྃ་	སྐྱེས་ཁྱིམ་
སྐྱེསྟེ	སྐྱེས་ཏེ
སྐྱེསའི	སྐྱེས་པའི
སྐྱེསུ	སྐྱེས་བུ
སྐྱེསུ་བསྐུར	སྐྱེས་སུ་བསྐུར
སྐྱེསུ	སྐྱེས་སུ
སྐྱེསོ	སྐྱེས་སོ
སྐྱོསེ	སྐྱོ་ཤེས
སྐྱོེས	སྐྱོ་ཤེས
སྐྱོཌ་	སྐྱོགས་
སྐྱོན༣སྤངསྟེ	སྐྱོན་གསུམ་སྤངས་ཏེ
སྐྱོནདོ	སྐྱོན་བརྗོད
སྐྱོནྲལ	སྐྱོན་བྲལ
སྐྱཽན	སྐྱོན་ཡོན
སྒྃ	སྒམ
སྒུུར	སྒུར་སྒུར
སྒོ་དྲུགི་གཟུངས	སྒོ་དྲུག་གི་གཟུངས
སྒོ་དྲུགིཟུངས	སྒོ་དྲུག་གི་གཟུངས
སྒོ་མཐའསྲུངས	སྒོ་མཐའ་ཡས་གཟུངས
སྒྱོདེ	སྒོ་འབྱེད
སྒོ	སྒོ
སྒོྃ་	སྒོམ་
སྒོརོཾ	སྒོར་མོ
སྒྱུཾན	སྒྱུ་མ་མཁན
སྒྱུལ	སྒྱུ་འཕྲུལ
སྒྱུ༹ལ	སྒྱུ་རྩལ
ངྱུར་བ	སྒྱུར་བ
ངྱུར་བ	སྒྱུར་བ
སྒྲནྱིས	སྒྲ་གཅན་གྱིས
སྒྲཅྱནྃངེ་	སྒྲ་གཅན་མིང་
སྒྲན	སྒྲ་གཅན
སྒྲྶྟེ་	སྒྲ་སྟེ་
སྒླ	སྒྲ་བླ
གྲླ	སྒྲ་བླ
སྒླ	སྒྲ་ཟླ
སྒྲཽཊ	སྒྲ་འདོགས
སྒྲགསོ	སྒྲགས་སོ
སྒྲགསོ	སྒྲགས་སོ
སརྒཌ	སྒྲགས
སྒྲོགྃཉྃཇོགིཟུཌན	སྒྲིག་མཉམ་འཇོག་གི་གཟུགས་ཅན
སྒྲིབྱེད	སྒྲིབ་བྱེད
སྒྲིཾགོས	སྒྲིམ་དགོས
སྒྲཽགས	སྒྲོ་འདོགས
སྒྲོགསུ	སྒྲོགས་སུ
སྒྲོཾན	སྒྲོན་མ
སྒྲོྃ	སྒྲོམ
སྒྲོལྱེད	སྒྲོལ་བྱེད
སྒྲོཾལ	སྒྲོལ་མ
སྔཊ	སྔགས
སྔཌ་	སྔགས་
སྔཌ	སྔགས
སྲརཁྲིཾསསྟར	སྔར་ཁྲིམས་ལྟར
སྔསུ	སྔས་སུ
སྔུར	སྔུར
སྔཽ	སྔོ་སྔོ
སྔོནྱི	སྔོན་གྱི
སྔོིནྱ	སྔོན་གྱི
སྔོནད	སྔོན་ཆད
སྔོནུ	སྔོན་དུ
སྔཽན	སྔོན་པོ
སྔོནོ	སྔོན་པོ
སྣཽན	སྔོན་པོ
སྔོནུ	སྔོན་བུ
སྔོནེ༹	སྔོན་ཚེ
སྔོནྲོ	སྔོན་འགྲོ
སྔོཨཽནྲ	སྔོན་འགྲོ
སྙགིས	སྙགས་སྙིགས
སྙློ	སྙ་ལོ
སྙཌ་	སྙགས་
སྙོཾཌ་	སྙང་སྙོགས་
སྙདཙོས	སྙད་གཙེས
སྙདཏཌ་	སྙད་བཏགས་
སྙདརྐོ	སྙད་བརྐོ
སྙྃདེད	སྙད་མེད
སྙདོཌ་	སྙད་འདོགས་
སྙདཛུཌ་	སྙད་འཛུགས་
སྙནྐོར	སྙན་ཀོར
སྙནྑུང	སྙན་ཁུང
སྙནཙེརྃནི	སྙན་གཙེར་མིན
སྙནསྱནབེབ	སྙན་གསན་འབེབས
སྙནསྱལྷོནེརསྱན	སྙན་གསོལ་ལྷན་ནེར་གསན
སྙནྱི	སྙན་གྱི
སྙནཾག	སྙན་ངག
སྣནཾག	སྙན་ངག
སྙནཾཌ་	སྙན་དངགས་
སྙནབང་	སྙན་དབང་
སྙནུ	སྙན་དུ
སྙནོ	སྙན་ནོ
སྙནར	སྙན་པར
སྙནྲ	སྙན་ཕྲ
སྙནྱུད	སྙན་བརྒྱུད
སྙནསྐུལ	སྙན་བསྐུལ
སྙནོྃ	སྙན་མོ
སྙནཚིགི	སྙན་ཚིག་གི
སྙནཚིག	སྙན་ཚིག
སྙནྮུ	སྙན་ཞུ
སྙནཇོབས	སྙན་འཇེབས
སྙནྲིན	སྙན་འཕྲིན
སྙནབུལརྩེཟྱི	སྙན་འབུལ་བརྩེ་གཟིགས
སྙནད	སྙན་རྒྱུད
སྙནལཕྱང་	སྙན་ཤལ་འཕྱང་
སྙནལ	སྙན་ཤལ
སྙྲོན	སྙན་སྒྲོན
སྙཾ་པའི	སྙམ་པའི
སྙཾམཾ	སྙམ་མམ
སྙམེ	སྙམ་མེ
སྙོཾ	སྙམ་མོ
སྙྃ	སྙམ
སྣཾས	སྙམས
སྙལྱིནདུག	སྙལ་གྱིན་འདུག
སྙིོྃ	སྙི་མོ
སྙིཁནི	སྙིག་མཁན་ནི
སྙིཌ་	སྙིགས་
སྙིཌའོྃ	སྙིགས་མའོ་
སྙིངྑ	སྙིང་ཁ
སྙིྃཁྃསྕན	སྙིང་ཁམས་ཅན
སྙིངར	སྙིང་ཁར
